time,static_pressure,total_pressure
1.002,83387.600000,83387.641724
1.004,83387.600000,83387.766258
1.006,83387.500000,83387.874558
1.008,83387.500000,83388.165030
1.01,83387.500000,83388.539907
1.012,83387.500000,83388.998233
1.014,83387.400000,83389.437770
1.016,83387.400000,83390.062671
1.018,83387.400000,83390.771019
1.02,83387.300000,83391.462815
1.022,83387.200000,83392.234544
1.024,83387.200000,83393.192913
1.026,83387.100000,83394.134729
1.028,83387.000000,83395.159991
1.03,83387.000000,83396.368699
1.032,83386.900000,83397.555742
1.034,83386.800000,83398.831021
1.036,83386.700000,83400.189744
1.038,83386.600000,83401.631910
1.04,83386.500000,83403.157521
1.042,83386.400000,83404.766575
1.044,83386.300000,83406.452045
1.046,83386.200000,83408.227663
1.048,83386.000000,83409.986725
1.05,83385.900000,83411.929226
1.052,83385.800000,83413.955169
1.054,83385.600000,83415.964550
1.056,83385.500000,83418.157372
1.058,83385.300000,83420.333631
1.06,83385.200000,83422.693326
1.062,83385.000000,83425.036460
1.064,83384.900000,83427.563032
1.066,83384.700000,83430.073037
1.068,83384.500000,83432.666479
1.07,83384.300000,83435.343353
1.072,83384.100000,83438.103658
1.074,83384.000000,83441.059219
1.076,83383.800000,83443.986706
1.078,83383.600000,83446.997626
1.08,83383.300000,83449.991978
1.082,83383.100000,83453.169756
1.084,83382.900000,83456.430958
1.086,83382.700000,83459.775589
1.088,83382.500000,83463.217704
1.09,83382.200000,83466.629504
1.092,83382.000000,83470.224724
1.094,83381.700000,83473.803369
1.096,83381.500000,83477.580772
1.098,83381.200000,83481.326578
1.1,83381.000000,83485.255797
1.102,83380.700000,83489.168439
1.104,83380.400000,83493.181112
1.106,83380.100000,83497.260893
1.108,83379.900000,83501.524092
1.11,83379.600000,83505.788290
1.112,83379.300000,83510.118632
1.114,83379.000000,83514.532376
1.116,83378.700000,83519.048075
1.118,83378.400000,83523.628966
1.12,83378.100000,83528.312437
1.122,83377.700000,83532.960442
1.124,83377.400000,83537.791856
1.126,83377.100000,83542.726820
1.128,83376.700000,83547.625337
1.13,83376.400000,83552.728058
1.132,83376.100000,83557.893703
1.134,83375.700000,83563.064157
1.136,83375.400000,83568.396908
1.138,83375.000000,83573.735105
1.14,83374.600000,83579.134936
1.142,83374.300000,83584.740888
1.144,83373.900000,83590.307810
1.146,83373.500000,83595.981471
1.148,83373.100000,83601.739165
1.15,83372.700000,83607.556881
1.152,83372.300000,83613.482294
1.154,83371.900000,83619.467084
1.156,83371.500000,83625.560183
1.158,83371.100000,83631.737307
1.16,83370.700000,83637.972866
1.162,83370.200000,83644.217689
1.164,83369.800000,83650.646505
1.166,83369.400000,83657.132790
1.168,83368.900000,83663.629320
1.17,83368.500000,83670.309808
1.172,83368.000000,83676.946828
1.174,83367.600000,83683.795019
1.176,83367.100000,83690.627189
1.178,83366.600000,83697.543366
1.18,83366.200000,83704.614725
1.182,83365.700000,83711.698559
1.184,83365.200000,83718.866361
1.186,83364.700000,83726.118129
1.188,83364.200000,83733.453929
1.19,83363.700000,83740.843260
1.192,83363.200000,83748.346658
1.194,83362.700000,83755.934049
1.196,83362.200000,83763.605391
1.198,83361.700000,83771.360683
1.2,83361.100000,83779.099960
1.202,83360.600000,83787.023221
1.204,83360.100000,83795.030422
1.206,83359.500000,83803.021562
1.208,83359.000000,83811.163398
1.21,83358.400000,83819.322169
1.212,83357.900000,83827.664869
1.214,83357.300000,83835.991495
1.216,83356.700000,83844.402088
1.218,83356.200000,83852.996601
1.22,83355.600000,83861.575078
1.222,83355.000000,83870.237467
1.224,83354.400000,83878.983816
1.226,83353.800000,83887.814071
1.228,83353.200000,83896.728281
1.23,83352.600000,83905.763197
1.232,83352.000000,83914.845524
1.234,83351.400000,83924.011796
1.236,83350.800000,83933.262014
1.238,83350.100000,83942.496118
1.24,83349.500000,83951.914162
1.242,83348.900000,83961.416087
1.244,83348.200000,83970.901886
1.246,83347.600000,83980.571617
1.248,83346.900000,83990.264911
1.25,83346.300000,84000.102757
1.252,83345.600000,84009.924529
1.254,83344.900000,84019.830159
1.256,83344.300000,84029.919644
1.258,83343.600000,84039.993044
1.26,83342.900000,84050.191909
1.262,83342.200000,84060.433388
1.264,83341.500000,84070.758705
1.266,83340.800000,84081.167928
1.268,83340.100000,84091.703883
1.27,83339.400000,84102.281158
1.272,83338.700000,84112.942256
1.274,83337.900000,84123.631038
1.276,83337.200000,84134.460166
1.278,83336.500000,84145.373182
1.28,83335.700000,84156.270006
1.282,83335.000000,84167.395861
1.284,83334.300000,84178.560689
1.286,83333.500000,84189.709311
1.288,83332.700000,84200.987917
1.29,83332.000000,84212.404519
1.292,83331.200000,84223.851740
1.294,83330.400000,84235.336395
1.296,83329.600000,84246.904824
1.298,83328.900000,84258.704738
1.3,83328.100000,84270.441113
1.302,83327.300000,84282.309605
1.304,83326.500000,84294.213909
1.307,83325.300000,84312.276594
1.312,83323.400000,84339.576053
1.318,83320.600000,84381.422813
1.328,83316.300000,84445.048377
1.338,83311.900000,84510.677269
1.348,83307.400000,84578.308961
1.358,83302.700000,84647.842780
1.368,83297.900000,84719.437407
1.378,83292.900000,84792.936368
1.388,83287.800000,84868.438917
1.398,83282.600000,84945.944586
1.408,83277.300000,85025.518160
1.418,83271.800000,85106.929784
1.428,83266.200000,85190.411230
1.438,83260.500000,85275.896223
1.448,83254.600000,85363.284452
1.458,83248.600000,85452.674820
1.468,83242.400000,85544.041841
1.478,83236.200000,85637.512949
1.488,83229.800000,85732.730890
1.498,83223.200000,85829.605435
1.508,83216.500000,85928.058274
1.518,83209.700000,86028.065244
1.528,83202.800000,86129.601509
1.538,83195.700000,86232.628455
1.548,83188.500000,86337.051446
1.558,83181.200000,86443.109093
1.568,83173.700000,86550.413895
1.578,83166.200000,86659.322170
1.588,83158.400000,86769.419843
1.598,83150.600000,86880.983577
1.608,83142.600000,86993.789474
1.618,83134.500000,87108.011890
1.628,83126.300000,87223.531557
1.638,83117.900000,87340.225194
1.648,83109.500000,87458.268820
1.658,83100.900000,87577.439357
1.668,83092.100000,87697.713420
1.678,83083.300000,87819.375281
1.688,83074.300000,87942.096664
1.698,83065.200000,88065.844363
1.708,83056.000000,88190.814904
1.718,83046.700000,88316.876292
1.728,83037.200000,88443.905668
1.738,83027.600000,88571.980264
1.748,83017.900000,88701.077402
1.758,83008.100000,88831.174498
1.768,82998.100000,88962.149058
1.778,82988.100000,89094.179269
1.788,82977.900000,89227.042263
1.798,82967.600000,89360.815825
1.808,82957.100000,89495.377830
1.818,82946.600000,89631.034597
1.828,82936.000000,89767.539309
1.838,82925.200000,89904.899283
1.848,82914.300000,90043.198903
1.858,82903.300000,90182.552519
1.868,82892.200000,90322.678227
1.878,82880.900000,90463.589748
1.888,82869.600000,90605.607762
1.898,82858.100000,90748.241665
1.908,82846.600000,90891.949458
1.918,82834.900000,91036.236773
1.928,82823.100000,91181.466336
1.938,82811.200000,91327.337765
1.948,82799.100000,91473.875444
1.958,82787.000000,91621.409142
1.968,82774.800000,91769.529900
1.978,82762.400000,91918.267164
1.988,82749.900000,92067.702436
1.998,82737.400000,92217.919890
2.008,82724.700000,92368.703825
2.018,82711.900000,92520.136774
2.028,82699.000000,92672.202229
2.038,82686.000000,92824.726662
2.048,82672.900000,92978.007571
2.058,82659.600000,93131.612246
2.068,82646.300000,93286.043434
2.078,82632.900000,93440.863446
2.088,82619.300000,93595.953447
2.098,82605.700000,93751.821896
2.108,82591.900000,93908.091744
2.118,82578.000000,94064.678886
2.128,82564.100000,94221.833229
2.138,82550.000000,94379.339030
2.148,82535.800000,94537.280609
2.158,82521.500000,94695.469184
2.168,82507.200000,94854.334309
2.178,82492.700000,95013.312950
2.188,82478.100000,95172.487268
2.198,82463.400000,95332.191917
2.208,82448.600000,95492.059245
2.218,82433.700000,95652.249645
2.228,82418.800000,95812.849266
2.238,82403.700000,95973.458987
2.248,82388.500000,96134.345556
2.258,82373.200000,96295.492751
2.268,82357.800000,96456.885708
2.278,82342.300000,96618.324905
2.288,82326.800000,96779.890851
2.298,82311.100000,96941.742217
2.308,82295.300000,97103.590256
2.318,82279.400000,97265.606297
2.328,82263.500000,97427.685630
2.338,82247.400000,97589.801954
2.348,82231.300000,97752.336398
2.358,82215.000000,97915.078076
2.368,82198.700000,98078.018480
2.378,82182.200000,98241.142239
2.388,82165.700000,98404.440286
2.398,82149.100000,98568.197425
2.408,82132.400000,98732.003682
2.418,82115.600000,98896.049906
2.428,82098.700000,99060.119672
2.438,82081.700000,99224.404494
2.448,82064.600000,99388.893858
2.458,82047.400000,99553.577285
2.468,82030.100000,99718.237502
2.478,82012.800000,99883.170570
2.488,81995.300000,100047.953791
2.498,81977.800000,100213.195357
2.508,81960.200000,100378.367898
2.518,81942.500000,100543.454560
2.528,81924.700000,100708.658692
2.538,81906.800000,100873.970207
2.548,81888.800000,101039.375367
2.558,81870.700000,101204.651705
2.568,81852.600000,101370.101436
2.578,81834.300000,101535.298403
2.588,81816.000000,101700.646899
2.598,81797.600000,101866.037037
2.608,81779.100000,102031.239870
2.618,81760.500000,102196.462763
2.628,81741.800000,102361.474935
2.638,81723.000000,102526.487786
2.648,81704.200000,102691.589679
2.658,81685.300000,102856.447111
2.668,81666.300000,103021.274541
2.678,81647.200000,103186.060404
2.688,81628.000000,103350.568522
2.698,81608.700000,103515.016367
2.708,81589.400000,103679.261794
2.718,81569.900000,103843.328514
2.728,81550.400000,104007.170457
2.738,81530.800000,104170.913378
2.748,81511.200000,104334.643751
2.758,81491.400000,104497.921536
2.768,81471.600000,104661.166673
2.778,81451.700000,104824.035212
2.788,81431.700000,104986.755713
2.798,81411.600000,105149.078080
2.808,81391.400000,105311.230508
2.818,81371.200000,105473.063449
2.828,81350.900000,105634.948554
2.838,81330.500000,105796.154711
2.848,81310.000000,105957.149856
2.858,81289.500000,106118.032441
2.868,81268.900000,106278.441631
2.878,81248.200000,106438.616959
2.888,81227.400000,106598.303156
2.898,81206.600000,106757.834358
2.908,81185.600000,106916.753635
2.918,81164.600000,107075.504348
2.928,81143.600000,107233.820529
2.938,81122.400000,107391.747344
2.948,81101.200000,107549.224763
2.958,81079.900000,107706.394750
2.968,81058.500000,107862.993140
2.978,81037.100000,108019.368807
2.988,81015.500000,108175.050826
2.998,80993.900000,108330.492460
3.008,80972.300000,108485.426487
3.018,80950.500000,108639.897388
3.028,80928.700000,108793.844388
3.038,80906.900000,108947.510970
3.048,80884.900000,109100.434955
3.058,80862.900000,109253.061431
3.068,80840.800000,109405.026833
3.078,80818.600000,109556.318496
3.088,80796.400000,109707.286635
3.098,80774.100000,109857.565647
3.108,80751.800000,110007.510218
3.118,80729.300000,110156.907265
3.128,80706.800000,110305.423301
3.138,80684.200000,110453.476935
3.148,80661.600000,110601.163757
3.158,80638.900000,110748.105574
3.168,80616.100000,110894.292993
3.178,80593.300000,111040.089145
3.188,80570.400000,111185.113776
3.198,80547.400000,111329.631589
3.208,80524.400000,111473.463970
3.218,80501.300000,111616.771209
3.228,80478.100000,111759.003338
3.238,80454.900000,111901.067484
3.248,80431.600000,112042.038721
3.258,80408.300000,112182.556376
3.268,80384.900000,112322.513758
3.278,80361.400000,112461.624681
3.288,80337.900000,112599.986729
3.298,80314.300000,112737.762885
3.308,80290.600000,112874.392929
3.318,80266.900000,113010.806823
3.328,80243.100000,113146.334376
3.338,80219.200000,113280.970432
3.348,80195.300000,113414.809968
3.358,80171.400000,113548.120012
3.368,80147.400000,113680.518543
3.378,80123.300000,113812.277157
3.388,80099.100000,113943.106239
3.398,80074.900000,114073.097857
3.408,80050.700000,114202.532149
3.418,80026.400000,114331.014544
3.428,80002.000000,114458.537295
3.438,79977.600000,114585.482564
3.448,79953.100000,114711.454098
3.458,79928.600000,114836.547716
3.468,79904.000000,114960.944208
3.478,79879.300000,115084.342275
3.488,79854.600000,115207.134154
3.498,79829.900000,115328.727531
3.508,79805.000000,115449.788460
3.518,79780.200000,115569.736462
3.528,79755.300000,115688.949465
3.538,79730.300000,115807.129921
3.548,79705.300000,115924.370864
3.558,79680.200000,116040.858635
3.568,79655.100000,116156.390684
3.578,79629.900000,116270.867285
3.588,79604.700000,116384.669456
3.598,79579.400000,116497.403872
3.608,79554.100000,116609.156791
3.618,79528.700000,116720.125204
3.628,79503.300000,116830.100095
3.638,79478.600000,116939.782268
3.648,79454.400000,117049.259617
3.658,79430.000000,117157.230641
3.668,79405.700000,117264.588972
3.678,79381.300000,117371.126244
3.688,79356.800000,117476.238223
3.698,79332.300000,117580.617939
3.708,79307.700000,117684.164532
3.718,79283.200000,117786.467423
3.728,79258.500000,117887.826370
3.738,79233.800000,117988.134892
3.748,79209.100000,118087.383515
3.758,79184.400000,118185.869522
3.768,79159.600000,118283.189007
3.778,79134.700000,118379.336445
3.788,79109.800000,118474.710628
3.798,79084.900000,118568.694245
3.808,79059.900000,118661.794689
3.818,79034.900000,118754.107931
3.828,79009.900000,118845.014286
3.838,78984.800000,118935.027727
3.848,78959.700000,119023.933793
3.858,78934.500000,119111.930653
3.868,78909.300000,119198.507293
3.878,78884.100000,119284.265588
3.888,78858.800000,119368.801399
3.898,78833.500000,119452.510711
3.908,78808.100000,119534.988771
3.918,78782.700000,119616.326965
3.928,78757.300000,119696.524646
3.938,78731.800000,119775.779405
3.948,78706.300000,119853.885326
3.958,78680.800000,119930.833991
3.968,78655.200000,120006.525036
3.978,78629.600000,120081.361610
3.988,78604.000000,120155.028665
3.998,78578.300000,120227.426041
4.008,78552.600000,120296.462560
4.018,78526.900000,120356.494568
4.028,78501.100000,120408.031590
4.038,78475.300000,120450.832076
4.048,78449.500000,120484.572620
4.058,78423.700000,120509.868489
4.068,78397.800000,120526.285715
4.078,78372.000000,120534.022636
4.088,78346.100000,120532.868087
4.098,78320.200000,120524.494865
4.108,78294.300000,120511.717175
4.118,78268.400000,120495.170457
4.128,78242.500000,120474.850832
4.138,78216.600000,120450.449403
4.148,78190.700000,120422.281233
4.158,78164.700000,120390.244000
4.168,78138.800000,120354.230555
4.178,78112.900000,120314.457409
4.188,78087.000000,120270.618656
4.198,78061.100000,120223.023504
4.208,78035.200000,120171.684527
4.218,78009.200000,120116.193663
4.228,77983.300000,120057.065439
4.238,77957.500000,119994.309857
4.248,77931.600000,119927.420918
4.258,77905.700000,119856.818323
4.268,77879.800000,119782.509500
4.278,77854.000000,119704.602370
4.288,77828.100000,119622.597932
4.298,77802.300000,119537.013023
4.308,77776.500000,119447.761137
4.318,77750.700000,119354.541533
4.328,77725.000000,119258.082173
4.338,77699.200000,119157.577032
4.348,77673.500000,119053.552203
4.35,77669.000000,119034.781128
4.353,77662.200000,119006.893797
4.357,77652.100000,118965.018598
4.362,77636.900000,118902.037632
4.371,77614.200000,118808.039312
4.381,77588.500000,118701.885483
4.391,77562.900000,118596.245319
4.401,77537.200000,118490.613805
4.411,77511.600000,118385.182856
4.421,77486.100000,118280.267538
4.431,77460.500000,118175.052989
4.441,77435.000000,118070.345230
4.451,77409.500000,117966.051068
4.461,77384.000000,117861.553732
4.471,77358.500000,117757.465154
4.481,77333.100000,117653.579049
4.491,77307.700000,117549.799238
4.501,77282.300000,117446.426191
4.511,77256.900000,117343.154636
4.521,77231.500000,117239.984472
4.531,77206.200000,117137.019493
4.541,77180.900000,117034.458864
4.551,77155.600000,116931.998652
4.561,77130.300000,116829.638760
4.571,77105.000000,116727.379091
4.581,77079.800000,116625.625242
4.591,77054.600000,116523.970746
4.601,77029.400000,116422.415506
4.611,77004.200000,116320.959425
4.621,76979.100000,116220.002931
4.631,76954.000000,116119.148564
4.641,76928.900000,116018.392398
4.651,76903.800000,115918.033877
4.661,76878.700000,115817.473499
4.671,76853.700000,115717.409922
4.681,76828.600000,115617.347295
4.691,76803.600000,115517.776185
4.701,76778.700000,115418.107265
4.711,76753.700000,115318.732800
4.721,76728.800000,115219.851724
4.731,76703.900000,115120.772849
4.741,76679.000000,115022.082775
4.751,76654.100000,114923.195349
4.761,76629.200000,114824.995603
4.771,76604.400000,114726.694575
4.781,76579.600000,114628.783787
4.791,76554.800000,114530.672176
4.801,76530.000000,114432.953680
4.811,76505.300000,114335.719842
4.821,76480.500000,114238.188915
4.831,76455.800000,114141.145519
4.841,76431.100000,114044.195200
4.851,76406.500000,113947.437868
4.861,76381.800000,113850.969864
4.871,76357.200000,113754.690369
4.881,76332.600000,113658.506603
4.891,76308.000000,113562.411182
4.901,76283.400000,113466.411300
4.911,76258.900000,113370.894415
4.921,76234.400000,113275.468618
4.931,76209.900000,113180.133820
4.941,76185.400000,113085.183788
4.951,76160.900000,112990.320343
4.961,76136.500000,112895.650600
4.971,76112.100000,112801.067283
4.981,76087.700000,112706.577483
4.991,76063.300000,112612.466209
5.001,76038.900000,112518.444065
5.011,76014.600000,112424.610964
5.021,75990.200000,112330.766821
5.031,75965.900000,112237.402544
5.041,75941.700000,112144.222885
5.051,75917.400000,112051.031309
5.061,75893.200000,111958.031258
5.071,75868.900000,111865.305324
5.081,75844.700000,111772.477174
5.091,75820.600000,111680.125875
5.101,75796.400000,111588.046906
5.111,75772.300000,111495.869289
5.121,75748.100000,111403.963223
5.131,75724.000000,111312.243333
5.141,75699.900000,111220.609534
5.151,75675.900000,111129.161746
5.161,75651.800000,111037.986811
5.171,75627.800000,110946.993648
5.181,75603.800000,110856.085641
5.191,75579.800000,110765.266150
5.201,75555.900000,110674.628205
5.211,75531.900000,110584.260555
5.221,75508.000000,110494.077121
5.231,75484.100000,110403.974405
5.241,75460.200000,110314.240218
5.251,75436.400000,110224.408653
5.261,75412.500000,110134.841435
5.271,75388.700000,110045.454040
5.281,75364.900000,109956.153179
5.291,75341.100000,109867.214931
5.301,75317.300000,109778.079805
5.311,75293.600000,109689.406538
5.321,75269.900000,109600.815495
5.331,75246.200000,109512.584967
5.341,75222.500000,109424.157839
5.351,75198.800000,109336.093821
5.361,75175.200000,109248.207774
5.371,75151.500000,109160.302969
5.381,75127.900000,109072.856222
5.391,75104.300000,108985.213374
5.401,75080.800000,108898.027843
5.411,75057.200000,108810.825962
5.421,75033.700000,108723.801040
5.431,75010.200000,108637.131738
5.441,74986.700000,108550.266832
5.451,74963.200000,108463.756811
5.461,74939.700000,108377.329447
5.471,74916.300000,108291.352370
5.481,74892.900000,108205.179968
5.491,74869.500000,108119.360406
5.501,74846.100000,108033.622595
5.511,74822.800000,107948.059951
5.521,74799.400000,107862.475657
5.531,74776.100000,107777.342170
5.541,74752.800000,107692.014066
5.551,74729.500000,107607.036043
5.561,74706.200000,107522.410383
5.571,74683.000000,107437.686950
5.581,74660.900000,107354.140848
5.591,74638.900000,107271.042812
5.601,74616.800000,107187.921390
5.611,74594.800000,107104.976507
5.621,74572.800000,107022.108092
5.631,74550.800000,106939.585741
5.641,74528.800000,106857.135974
5.651,74506.900000,106774.865066
5.661,74485.000000,106692.669768
5.671,74463.100000,106610.550009
5.681,74441.200000,106528.773973
5.691,74419.300000,106446.801653
5.701,74397.400000,106365.175496
5.711,74375.600000,106283.720899
5.721,74353.800000,106202.344057
5.731,74332.000000,106121.305493
5.741,74310.200000,106040.077402
5.751,74288.400000,105959.186899
5.761,74266.700000,105878.473287
5.771,74244.900000,105797.996019
5.781,74223.200000,105717.426388
5.791,74201.500000,105636.930338
5.801,74179.800000,105556.772694
5.811,74158.200000,105476.787934
5.821,74136.500000,105396.775991
5.831,74114.900000,105317.200861
5.841,74093.300000,105237.434066
5.851,74071.700000,105158.000343
5.861,74050.100000,105078.641666
5.871,74028.600000,104999.451870
5.881,74007.000000,104920.236974
5.891,73985.500000,104841.453248
5.901,73964.000000,104762.478561
5.911,73942.500000,104683.840421
5.921,73921.000000,104605.270302
5.931,73899.600000,104526.871162
5.941,73878.200000,104448.803982
5.951,73856.700000,104370.443329
5.961,73835.300000,104292.516960
5.971,73814.000000,104214.760758
5.981,73792.600000,104136.971677
5.991,73771.200000,104059.255619
6.001,73749.900000,103981.965979
6.011,73728.600000,103904.486562
6.021,73707.300000,103827.335874
6.031,73686.000000,103750.254428
6.041,73664.800000,103673.600503
6.051,73643.500000,103596.657079
6.061,73622.300000,103520.140508
6.071,73601.100000,103443.431912
6.081,73579.900000,103367.052442
6.091,73558.700000,103290.995370
6.101,73537.600000,103214.849291
6.111,73516.400000,103138.671412
6.121,73495.300000,103062.917871
6.131,73474.200000,102987.231870
6.141,73453.100000,102911.610448
6.151,73432.000000,102836.059339
6.161,73411.000000,102760.927836
6.171,73389.900000,102685.511103
6.181,73368.900000,102610.513330
6.191,73347.900000,102535.582198
6.201,73326.900000,102460.717646
6.211,73306.000000,102386.016750
6.221,73285.000000,102311.538734
6.231,73264.100000,102236.970437
6.241,73243.100000,102162.624360
6.251,73222.200000,102088.441186
6.261,73201.400000,102014.423705
6.271,73180.500000,101940.624106
6.281,73159.600000,101866.634737
6.291,73138.800000,101793.065437
6.301,73118.000000,101719.306776
6.311,73097.200000,101645.864720
6.321,73076.400000,101572.738431
6.331,73055.600000,101499.425684
6.341,73034.900000,101426.528063
6.351,73014.200000,101353.441591
6.361,72993.400000,101280.572404
6.371,72972.700000,101207.864432
6.381,72952.100000,101135.320405
6.391,72931.400000,101062.989409
6.401,72910.700000,100990.472835
6.411,72890.100000,100918.365901
6.421,72869.500000,100846.322170
6.431,72848.900000,100774.344333
6.441,72828.300000,100702.426827
6.451,72807.700000,100630.569606
6.461,72787.200000,100559.125456
6.471,72766.700000,100487.493871
6.481,72746.100000,100416.074720
6.491,72725.600000,100344.815130
6.501,72705.200000,100273.717776
6.511,72684.700000,100202.825974
6.521,72664.200000,100131.752666
6.531,72643.800000,100061.084299
6.541,72623.400000,99990.477440
6.551,72603.000000,99919.932030
6.561,72582.600000,99849.448014
6.571,72562.200000,99779.022650
6.581,72541.900000,99709.002900
6.591,72521.500000,99638.699803
6.601,72501.200000,99568.801705
6.611,72480.900000,99498.964223
6.621,72460.600000,99429.184642
6.631,72440.400000,99359.565574
6.641,72420.100000,99290.149788
6.651,72399.900000,99220.651327
6.661,72379.700000,99151.455539
6.671,72359.400000,99082.216907
6.681,72339.300000,99013.238019
6.691,72319.100000,98944.218821
6.701,72298.900000,98875.500595
6.711,72278.800000,98806.697744
6.721,72258.700000,98738.197883
6.731,72238.600000,98669.754390
6.741,72218.500000,98601.367223
6.751,72198.400000,98533.041537
6.761,72178.300000,98464.772077
6.771,72158.300000,98396.661391
6.781,72138.300000,98328.848797
6.791,72118.300000,98261.094379
6.801,72098.300000,98193.395507
6.811,72078.300000,98125.754712
6.821,72058.300000,98058.171940
6.831,72038.400000,97990.747137
6.841,72018.400000,97923.515604
