time,static_pressure,total_pressure
0.0000,101325.0000,101325.0000
0.1000,100982.8154,101004.8051
0.2000,100643.1939,100730.9130
0.3000,100306.1200,100502.9525
0.4000,99971.5787,100320.5579
0.5000,99639.5549,100183.3680
0.6000,99310.0338,100091.0269
0.7000,98983.0006,100043.1834
0.8000,98658.4406,100039.4913
0.9000,98336.3392,100079.6092
1.0000,98016.6821,100163.2004
1.1000,97699.4549,100289.9331
1.2000,97384.6434,100459.4802
1.3000,97072.2336,100671.5190
1.4000,96762.2115,100925.7320
1.5000,96454.5633,101221.8058
1.6000,96149.2751,101559.4318
1.7000,95846.3334,101938.3059
1.8000,95545.7246,102358.1286
1.9000,95247.4354,102818.6048
2.0000,94951.4525,103319.4437
2.1000,94657.7627,103860.3592
2.2000,94366.3528,104441.0692
2.3000,94077.2100,105061.2964
2.4000,93790.3213,105720.7674
2.5000,93505.6741,106419.2133
2.6000,93223.2556,107156.3694
2.7000,92943.0533,107931.9751
2.8000,92665.0549,108745.7742
2.9000,92389.2478,109597.5144
3.0000,92115.6200,110486.9478
3.1000,91844.1592,111413.8303
3.2000,91574.8535,112377.9221
3.3000,91307.6910,113378.9873
3.4000,91042.6597,114416.7940
3.5000,90779.7480,115491.1145
3.6000,90518.9442,116601.7246
3.7000,90260.2369,117748.4046
3.8000,90003.6145,118930.9381
3.9000,89749.0658,120149.1131
4.0000,89496.5795,121402.7210
4.1000,89246.1445,122691.5573
4.2000,88997.7497,124015.4213
4.3000,88751.3842,125374.1157
4.4000,88507.0371,126767.4475
4.5000,88264.6977,128195.2268
4.6000,88024.3553,129657.2680
4.7000,87785.9994,131153.3886
4.8000,87549.6193,132683.4102
4.9000,87315.2049,134247.1577
5.0000,87082.7457,115388.8654
5.1000,86852.2315,114745.6975
5.2000,86623.6523,114108.6462
5.3000,86396.9979,113477.6677
5.4000,86172.2586,112852.7185
5.5000,85949.4243,112233.7557
5.6000,85728.4855,111620.7367
5.7000,85509.4322,111013.6193
5.8000,85292.2551,110412.3618
5.9000,85076.9446,109816.9229
6.0000,84863.4912,109227.2616
